schema_version,source_id,source_kind,title,path,url,sha256,source_sha256,brand,freshness_status,source_status,source_role,read_status,usable_for_precise_answer,requires_manager_confirmation
kb_release_v3_source_v1,claude_layer_v3:brand_rules,claude_yaml,brand_rules.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/facts/brand_rules.yaml,,b4647fa1743733af4f6d42e6f79d2dba9df868361a8359a9acf88f51f6e94ab8,b4647fa1743733af4f6d42e6f79d2dba9df868361a8359a9acf88f51f6e94ab8,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:bot_policy,claude_yaml,bot_policy.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/facts/bot_policy.yaml,,7208162d168840c3ce22e53187dbef73f4d3e2a0782ba610dd4c8e230a845728,7208162d168840c3ce22e53187dbef73f4d3e2a0782ba610dd4c8e230a845728,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:facts_for_bot_FOTON,claude_yaml,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/facts/facts_for_bot_FOTON.yaml,,012f2321f9c95a9f8a45a107b352cdd8342d63107eca9ae2bc9fafe747e7b355,012f2321f9c95a9f8a45a107b352cdd8342d63107eca9ae2bc9fafe747e7b355,foton,document_verified,read,claude_v3_handoff_source,read,True,False
kb_release_v3_source_v1,claude_layer_v3:facts_for_bot_UNPK,claude_yaml,facts_for_bot_UNPK.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/facts/facts_for_bot_UNPK.yaml,,3e86d20e517b6f290407a959a5efee3f22aaf0d0ea1cad01739c65db6d4b1bf8,3e86d20e517b6f290407a959a5efee3f22aaf0d0ea1cad01739c65db6d4b1bf8,unpk,document_verified,read,claude_v3_handoff_source,read,True,False
kb_release_v3_source_v1,claude_layer_v3:facts_internal_only,claude_yaml,facts_internal_only.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/facts/facts_internal_only.yaml,,4c43a257263b9158bd0daba671f7efdacb6226147e4ad8b78deea1f146b65b55,4c43a257263b9158bd0daba671f7efdacb6226147e4ad8b78deea1f146b65b55,internal,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:open_questions,claude_markdown,07_OPEN_QUESTIONS_AND_GAPS.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/07_OPEN_QUESTIONS_AND_GAPS.md,,36fe72c9c40a9ca7bc9a3a23e36daa10fca25a4f2d4d46c23235e7619a92939b,36fe72c9c40a9ca7bc9a3a23e36daa10fca25a4f2d4d46c23235e7619a92939b,brand_neutral,fresh_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:rebuild_requirements,claude_markdown,UPDATE_TASK_FOR_AGENT_2026-05-19.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/UPDATE_TASK_FOR_AGENT_2026-05-19.md,,e53ada1974682a8a3c3822ed522823c129e563c38d10426778fe1ca3f0fbad19,e53ada1974682a8a3c3822ed522823c129e563c38d10426778fe1ca3f0fbad19,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:changelog_final,claude_markdown,CHANGELOG_HUMAN.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/CHANGELOG_HUMAN.md,,d0d5609b7b838d514df94aec1645b235683aab3bf4f76aefc6ddc2454a672520,d0d5609b7b838d514df94aec1645b235683aab3bf4f76aefc6ddc2454a672520,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:changelog_team_answers,claude_markdown,UPDATE_REPORT_2026-05-19.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/UPDATE_REPORT_2026-05-19.md,,37cbe5207f307f006f78c66ef3a08c62f9c3b5906c15bbfd9908129457cc6c91,37cbe5207f307f006f78c66ef3a08c62f9c3b5906c15bbfd9908129457cc6c91,brand_neutral,fresh_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:readme,claude_markdown,00_START_HERE.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260520_v6_3_team_answers_sources/00_START_HERE.md,,771b13508dcb89469ee1f31db960d95e5d320a81e949c1c25b5464eb7606e1c2,771b13508dcb89469ee1f31db960d95e5d320a81e949c1c25b5464eb7606e1c2,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
